"","Sr. No.","Month","EMP ID","EMP Email","F_Name","L_Name","Full Name","Studio","Country","Date of Hire","Job Title","Org","Client","Manager Email","Manager EMP ID","Manager Name","Type of movement","Date of Exit","Reason for Leaving","Attrition Type","Employment type","Work Authorisation"
"102",12,2019-05-01,300012,"emily.chapman@softvision.com","Emily","Chapman","Chapman, Emily","Cluj-Napoca","Romania",2017-04-10,"Quality Assurance Associcate","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Exit","43596","Better opportunity","Voluntary","Full time employee","Citizen"
"103",13,2019-06-01,300013,"harry.graham@softvision.com","Harry","Graham","Graham, Harry","Cluj-Napoca","Romania",2015-11-21,"Recruiter","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43626","Personal reasons","Voluntary","Full time employee","Citizen"
"104",14,2019-02-01,300014,"keith.walker@softvision.com","Keith","Walker","Walker, Keith","Cluj-Napoca","Romania",2013-04-18,"REGIONAL TALENT DEVELOPMENT","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43503","Personal reasons","Voluntary","Full time employee","Citizen"
"105",15,2019-06-01,300015,"katherine.ogden@softvision.com","Katherine","Ogden","Ogden, Katherine","Cluj-Napoca","Romania",2014-01-17,"Retail System Consultant","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Exit","43631","Better compensation","Voluntary","Full time employee","Citizen"
"106",16,2019-06-01,300016,"blake.black@softvision.com","Blake","Black","Black, Blake","Cluj-Napoca","Romania",2014-03-11,"Sales Engineer","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43620","Better opportunity","Voluntary","Full time employee","Citizen"
"107",17,2019-01-01,300017,"jake.carr@softvision.com","Jake","Carr","Carr, Jake","Cluj-Napoca","Romania",2013-09-01,"Sales Executive","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43472","Better opportunity","Voluntary","Full time employee","Citizen"
"108",18,2019-03-01,300018,"anna.vance@softvision.com","Anna","Vance","Vance, Anna","Baia Mare","Romania",2017-04-02,"SALES OPERATIONS","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43525","Better compensation","Voluntary","Full time employee","Citizen"
"109",19,2019-05-01,300019,"dominic.kerr@softvision.com","Dominic","Kerr","Kerr, Dominic","Baia Mare","Romania",2014-08-26,"Scrum Master","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Exit","43606","Better compensation","Voluntary","Full time employee","Citizen"
"110",20,2019-04-01,300020,"karen.russell@softvision.com","Karen","Russell","Russell, Karen","Baia Mare","Romania",2018-12-19,"Senior .NET Developer","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Exit","43571","Better opportunity","Voluntary","Full time employee","Citizen"
"111",21,2019-02-01,300021,"zoe.gill@softvision.com","Zoe","Gill","Gill, Zoe","Baia Mare","Romania",2014-04-07,"Senior Application Developer","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Exit","43505","Personal reasons","Voluntary","Full time employee","Citizen"
"112",22,2019-04-01,300022,"peter.alsop@softvision.com","Peter","Alsop","Alsop, Peter","Baia Mare","Romania",2012-07-02,"Senior Art Director","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Exit","43570","Personal reasons","Voluntary","Full time employee","Citizen"
"113",23,2019-02-01,300023,"gavin.paige@softvision.com","Gavin","Paige","Paige, Gavin","Baia Mare","Romania",2015-06-17,"Senior Associate - Talent Acquisition","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Exit","43502","Better opportunity","Voluntary","Full time employee","Citizen"
"114",24,2019-05-01,300024,"jasmine.ince@softvision.com","Jasmine","Ince","Ince, Jasmine","Baia Mare","Romania",2016-07-06,"Senior Associate Customer Service","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Exit","43600","Personal reasons","Voluntary","Full time employee","Citizen"
"115",25,2019-07-01,300025,"bernadette.glover@softvision.com","Bernadette","Glover","Glover, Bernadette","Baia Mare","Romania",2019-07-06,"Senior Associate, Platforms","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Full time employee","Citizen"
"116",26,2019-01-01,300026,"fiona.coleman@softvision.com","Fiona","Coleman","Coleman, Fiona","Baia Mare","Romania",2019-01-16,"Senior Associate, Quality Assurance","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Full time employee","Citizen"
"117",27,2019-05-01,300027,"richard.rutherford@softvision.com","Richard","Rutherford","Rutherford, Richard","Baia Mare","Romania",2019-05-13,"Senior Associate, User Experience","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Full time employee","Citizen"
"118",28,2019-06-01,300028,"julia.blake@softvision.com","Julia","Blake","Blake, Julia","Timisoara","Romania",2019-06-01,"Senior BA","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Full time employee","Citizen"
"119",29,2019-06-01,300029,"melanie.tucker@softvision.com","Melanie","Tucker","Tucker, Melanie","Timisoara","Romania",2019-06-22,"Senior Backend Engineer","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Full time employee","Citizen"
"120",30,2019-07-01,300030,"sophie.wilson@softvision.com","Sophie","Wilson","Wilson, Sophie","Timisoara","Romania",2019-07-11,"President, Digital","Corporate","Executive","edward.anderson@softvision.com",109010,"Anderson, Edward","Entry","-","-","-","Full time employee","Citizen"
"121",31,2019-03-01,300031,"ava.chapman@softvision.com","Ava","Chapman","Chapman, Ava","Timisoara","Romania",2019-03-15,"Product Owner","DeliveryOps","DelOpsD","lily.king@softvision.com",109008,"King, Lily","Entry","-","-","-","Full time employee","Citizen"
"122",32,2019-08-01,300032,"andrew.knox@softvision.com","Andrew","Knox","Knox, Andrew","Timisoara","Romania",2019-08-26,"Programmer Analyst","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Full time employee","Citizen"
"123",33,2019-09-01,300033,"trevor.wilson@softvision.com","Trevor","Wilson","Wilson, Trevor","Timisoara","Romania",2019-09-20,"Project Lead","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"124",34,2019-03-01,300034,"christian.alsop@softvision.com","Christian","Alsop","Alsop, Christian","Bucuresti","Romania",2019-03-01,"Project Manager","DeliveryOps","DelOpsD","lily.king@softvision.com",109008,"King, Lily","Entry","-","-","-","Full time employee","Citizen"
"125",35,2019-04-01,300035,"kylie.langdon@softvision.com","Kylie","Langdon","Langdon, Kylie","Iasi","Romania",2019-04-17,"Python Developer","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"126",36,2019-01-01,300036,"mary.ball@softvision.com","Mary","Ball","Ball, Mary","Remote","Romania",2019-01-02,"QA","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"127",37,2019-06-01,300037,"hannah.payne@softvision.com","Hannah","Payne","Payne, Hannah","Bucuresti","Romania",2019-06-24,"QA Associate","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"128",38,2019-09-01,300038,"diane.mathis@softvision.com","Diane","Mathis","Mathis, Diane","Bucuresti","Romania",2019-09-06,"QA Automation Engineer","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"129",39,2019-08-01,300039,"emma.rutherford@softvision.com","Emma","Rutherford","Rutherford, Emma","Bucuresti","Romania",2019-08-17,"QA Engineer","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"130",40,2019-07-01,300040,"leah.cornish@softvision.com","Leah","Cornish","Cornish, Leah","Bucuresti","Romania",2019-07-09,"Quality Analyst","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"131",41,2019-07-01,300041,"sophie.berry@softvision.com","Sophie","Berry","Berry, Sophie","Bucuresti","Romania",2019-07-18,"Quality Assurance Associcate","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"132",42,2019-05-01,300042,"abigail.lee@softvision.com","Abigail","Lee","Lee, Abigail","Bucuresti","Romania",2019-05-01,"Recruiter","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"133",43,2019-06-01,300043,"jason.nash@softvision.com","Jason","Nash","Nash, Jason","Bucuresti","Romania",2019-06-12,"REGIONAL TALENT DEVELOPMENT","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"134",44,2019-07-01,300044,"paul.wallace@softvision.com","Paul","Wallace","Wallace, Paul","Bucuresti","Romania",2019-07-16,"Retail System Consultant","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"135",45,2019-08-01,300045,"lauren.parr@softvision.com","Lauren","Parr","Parr, Lauren","Bucuresti","Romania",2019-08-19,"Sales Engineer","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"136",46,2019-08-01,300046,"ava.lee@softvision.com","Ava","Lee","Lee, Ava","Bucuresti","Romania",2019-08-08,"Sales Executive","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"137",47,2019-08-01,300047,"nathan.davidson@softvision.com","Nathan","Davidson","Davidson, Nathan","Remote","Romania",2019-08-21,"SALES OPERATIONS","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"138",48,2019-04-01,300048,"ruth.macdonald@softvision.com","Ruth","MacDonald","Macdonald, Ruth","Remote","Romania",2019-04-19,"Scrum Master","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"139",49,2019-09-01,300049,"andrew.nolan@softvision.com","Andrew","Nolan","Nolan, Andrew","Remote","Romania",2019-09-09,"Senior .NET Developer","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
"140",50,2019-03-01,300050,"mary.kerr@softvision.com","Mary","Kerr","Kerr, Mary","Remote","Romania",2019-03-26,"Senior Application Developer","Delivery","DelC","deirdre.burgess@softvision.com",109003,"Burgess, Deirdre","Entry","-","-","-","Full time employee","Citizen"
